gtin,descp,ncm,preco
07891000102626,AVEIA NESTLE FLOCOS FINOS 170GR,11041200,2.983151796060255
07894000010014,AMIDO MILHO MAIZENA 200G,11081200,3.69
07896042057484,BISNAGA PLASUTIL DEC MAIONESE 250ML,39241000,4.59
07500435127233,ABS ALWAYS SUPER PROT SECA CAB 16U,96190000,5.49
07891079001011,MAC INST NISSIN LAMEN VIT GAL 85G,19023000,1.998018018018018
07896102509434,MAIONESE QUERO SH,21039011,1.29
07898371000131,PRATO D COPOBR MD RAS 10UN,39241000,2.085
07891000379103,ACHOC NESCAU PRONTIN,22029900,1.895534482758621
07896014403103,POLPA BRASFRUT MORANGO 100G,20088000,7.336803797468354
07894321722016,BEB.LACTEA TODDYNHO,22029900,7.832455315145814
07898595270648,TECLADO GAMER OEX TC,84716053,24.97
07896584117509,CUECA BOXER PTO M,61071100,14.521290322580645
07896264601182,BISC C CRACKER 400G,19053100,5.276776315789474
07891079000205,MAC INST NISSIN LAMEN CARNE 85G,19023000,2.894471299093656
07898933541058,GOMA DE MANDIOCA REGIONAL 1KG,11081400,7.0135218508997434
07897312400504,LIMP.ALUM.ECONOMICO,34029090,1.99
07896016441011,BISC NORA DOCE AFA 400GR,19059020,3.796113360323887
07891962053738,BISCOITO VISCONTI AMANTEIGAD 335G LEITE UN,19053100,4.279999999999999
07892840234348,SALGADINHO CEBOLITOS 60G,19041000,5.352820512820513
07622300859770,GELAT PO ROYAL UVA 25G,21069029,1.2514814814814814
07891024038925,SAB.PROTEX,34011190,5.866223175965665
07891035040740,ALVEJANTE PO VANISH 450WHITE 450G,34022000,28.79
07898206500010,ACUCAR NATIVE ORG CLARO 1KG,17019900,7.146915887850468
07891021006071,CAFE VACUO PURO MELI,09012100,5.29
07896044994985,SABONETE GIOVANNA BABY MOMENTS 90 G CANDY UN,34011190,3.85
07897389100055,POLPA FRUTILITA TAPEREBA 500G,08119000,8.934444444444445
07898943163011,SARDINHA ROB CRUSOE OLEO 125GR,16041310,2.9445035460992908
07897105200014,REFRIG TUCHAUA PET 2,22021000,3.587012987012987
07896098901496,AMAC CONC BLUE YPE 1L,38099190,11.275454545454545
07891010503031,ABS.SEMPRE LIVRE ESP.ADPT SUAVE S/ABAS,96190000,2.8112121212121215
07622300807399,CHOC BIS LACTA AO LEITE C20 126GR,19053200,3.8905909090909088
07891048050644,GELATINA DR.OETKER LIMAO,21069029,1.4572727272727273
07891261020776,SAND IPAN A RX 37/38,64022000,7.989999999999999
07896056404892,SABAO PO URCA MAXX SACHE 500 G UN,34012090,3.9544973544973545
07891032019855,GELEIA OLE MOCOTO 220 G FRAMBOESA UN,20079910,2.97578125
07893000027718,SANDUICHE H POCK SADIA X FGO 145G,16023290,4.110833333333333
07898910758035,AMACIANTE TOQUE SUAVE BRINORT 2LT,34022000,4.37873786407767
07898907631228,MORT CERATTI BOLOG TRAD 150GR,16010000,7.99
07897158718467,KIT SH/CD GOTA OLEO DE ARGAN 340ML(GTC),33051000,11.41
07891152300536,BISC RECH RICHES MOR VIT 140G PT,19053100,1.9019761499148211
07898268450094,FARINHA MANDIOCA UARINI TAPAJOS,11062000,3.230067385444744
07896000722676,CR TRAT NIELY GOLD QUERAT REPAR 1KG,33059000,14.700000000000001
07891104393104,ADOC LIQ ADOCYL 100ML FR 0037,38249989,3.15
02900000021891,REFRESCO TANG LARANJA 15X25G,21069010,92.98555555555555
03608143331325,KIT PILHA PEQ CRF 8X,85061010,15.874057971014492
17896382502825,SALG.HILEIA SKILHOS,19041000,17.525853658536583
07891048038055,CHA DR OETKER PO 10 G HORTELA UN,09021000,4.91
07896000554369,SUCO CONC MAGUARY CAJU 500ML,20098990,2.4593525179856117
07891143017399,QJO POLENGUINHO 136G,04063000,10.440000000000001
07891027179915,CADER TILIB CD PEPPER FEM 1M 80F,48202000,6.81
07896289210130,PAO FORMA INTEGRAL BROTHERS 500G,19059010,9.689025341130606
07891331015046,BARRA NUTRY,20081900,3.6607142857142856
07898141930101,OVOS S PEDRO 06UN GD,04072100,3.938791208791209
07898268722498,MISTURA BROCOLIS CONG.GRANO,07108000,9.99
07622300859817,G ROYAL 25G MORANGO,21069010,1.3167721518987343
07896013104919,VINAGRE MINHOTO ALCOOL LV750ML PG50,22090000,2.1928571428571426
07894916208154,TROPINAL20COMP,30049099,17.58
07898959504938,MANTEIGA DULEIT,04051000,19.133333333333333
07896359012237,BALDE SANREMO 8L,39249000,18.789591836734694
07896264602066,BOLINHO PELAGIO BRIGADEIRO 40G,19059090,1.5189473684210526
07891164138370,EMPANADO STEAK NOBRE 100G,16023220,3.306159420289855
07896213002039,BISC RECH VITAR TRELOSO BRIGADEIRO,19053100,1.6500000000000001
07890000070065,RUCULA VIVA MC,07089000,2.99
07891010560812,HASTE FLEX J J 150UN CX 96189,56012190,5.4423076923076925
07896245705328,SALG PETICITOS 50G C,19059090,1.3519999999999999
07891132080014,AJINOMOTO SAL SC 1KG,21039021,10.75
07891024183182,FITA DENTAL COLGATE,33062000,11.59
07896241900024,DT PO KLIP 500G ORIG,34022000,3.950314960629921
07899755652588,TAPETE ALGODA RT DELI DTA01011,57019000,24.99
07896286611183,PALITOS CORY CHOCOLATE BRANCO,19053100,2.9899999999999998
07896042003481,JARRA PLASUTIL GRAD CESPREM 348,39241000,5.39
07622300991371,CHOC LACTA SHOT 90G,18063210,7.922
07898378180072,SUCO MARATA MARACUJA 1L,20098913,5.090000000000001
07891048061695,MIST.BOLO DR.OETKER,19012000,5.038602941176471
07896052406852,JERKED BEEF PAINEIRA,02102000,48
07896111985816,ESM IMP GLIT VIV AME BRL 3D BRILH C6(IMP,33043000,21.722727272727273
07897312402874,DETERGENTE FC 500 ML LIMAO UN,39249000,1.4073298429319372
07897520010366,AROMA BREEZE GEL CARRO NOVO PROAUTO 60G,33074900,4.989130434782608
07898912485434,REQ.NAT.DA VACA,04061090,2.316818181818182
07896480657116,ENX.B.ENLACE 600ML HORTELA,33069000,51.811875
07899182736455,PAO SUECO ROSE 100G,19054000,4.489999999999999
47898422745521,SABAO EM PO ALA FLOR CER LAV 500G,34012090,115.2
07898061707036,BEB LACT FLAMB POP MORANGO 540G,22029900,3.0368544600938967
07896025501041,ESCOVA CABELO USO DIARIO MASC.,96032900,1.9899999999999998
07891040198726,ESPONJA TININDO L4P3,68053090,2.69
07891152300321,BISC WAF RICHES LIMAO 120G 0032,19053200,1.638131868131868
07506339363883,CR DENT ORAL B 123 70G,33061000,3.2770833333333336
07896013100973,VINAGRE VINHO TINTO MINHOTO 500ML,22090000,3.49
07896090403233,SAB FRANCIS CLASSICO AZUL 90G,34011190,1.656
07896490288898,COLORIFICO D CLARA 1,21039021,1.1495833333333334
07896020615514,FLUTUADOR MOR,39161000,16.1652
07896082825562,SACO LIXO DOVER ROLL CAR C40,39232190,3.79
07894904985500,FRANGO A PASSARINHO SEARA STEMP 1K,02071400,8.199692307692308
07897692967468,CONS TERM TUPY CA I BOX 24L,39231090,30.71
07894000048703,AMIDO MILHO MAIZENA EMB 1 X 5 500G,11081200,65.19153846153846
07897744500049,OLEO AROMATIZANTE COALA EUCALIPTO,33029019,9.99
07899706130950,DESOD ROLLON BIO ANTI ODOR FEM 50ML,33072010,7.61
07896279117203,STUDIO H MURIEL SH+CO 250ML HID E FORCA,33059000,41.930735294117646
07891035285189,LIMP.VEJA L.PESADA ORIGINAL TRAD.,34022000,4.99
07891515474126,STEAK FGO PERD EMP 100G,16023220,4.8365248226950355
07896509972107,COL BELAECOR 3.66 VIOLETA(BTY),33059000,5.91
17893000518022,FGO CONG SADIA KG CX18,02071200,191.65153846153845
07891522310943,FRAL GARFIEL EG C/14,96190000,10.710909090909091
07896000594501,SUCO PTO NECTAR MAGUAR VITAKID MOR,22029900,1.3877777777777778
07891000242506,TEMP MAGGI CALDO GALINHA 24X19GR,21041011,12.299999999999999
07891024030134,ENX I 3500P350 250ML,33061000,13.59
07896005217788,BISC SALT QUEIJ SOL 150G,19059020,1.9647747747747748
07891035250019,LIMP VEJA CLORO 2X1 1L,34022000,9.697659574468085
07897664130029,DETERG LAV LOU MINUA,34022000,1.6660526315789475
07891350033533,COLOR BIOCOLOR LOURO,21039021,6.99
07891150000971,AMACIANTE COMFORT CONCENTRAD 500 ML ORIGINAL UN,38099190,9.32
07896058505450,BALA DORI GOMETS MINHOCAS 100G,17049020,6.01
07891251008616,BORRACHA CICLEY ROCHEDO 45 861,40169300,4.7700000000000005
07891132019731,TEMP.SAZON SALADAS LIMAO,21039021,3.49
07891910011988,CAFE PILAO ALM 250G FD,09012100,74.8
07891075403215,PICOLE KIBON MAG CLASSICO 100ML,21050010,9.68
07898343970769,CONFEITO DONA CARM CHOC 30G,18069000,1.59
07891965220144,ERVILHA PARTIDA HIKARI  500GR,07131090,8.35
07898919635078,REFRIG GUAR REAL CLASSICO 350ML PET,22021000,2.3135909090909093
07898148113248,PROCACHOS CCP 300ML MEUS CACHOS BABOSA,33059000,37.943673469387754
07891224159765,HAV.YOU METALLIC AREIA/DOU CL 40(E) - 41351022719390,64029990,55.25
07896806700045,DESOD LIQ LTE ROSAS 310ML,33072010,7.540000000000001
07894650003251,MR MUSCULO 5 EM 1 BANHEIRO 500ML AP,34029029,19.95
07894900011753,REFR COCA COLA 1500M,22021000,24.762785571142285
07896878801213,BEB LACTEA FAZENDINHA MORANGO 500G,22029900,3.226
07891962000251,TORR BAUD 160G SALG,19054000,3.8925396825396823
07891515485535,CHICKEN PERD QJO 275G,16023220,5.905555555555556
07891515474737,STEAK FGO CONG SADIA 100GR,16023230,6.8202061855670095
07896045500116,CERV KAISER PILSEN L,22030000,96.48104803493449
07897531700027,PIPOCA SALG.PANTERA,19041000,1.0180112044817928
07896224800808,CAFE ALMOF SANTA CLARA PREM  ST PAC,09012100,4.836029268292683
07891150055711,SH ANTI CASP CLEAR F,33051000,13.420399999999999
07898141930026,OVO EXTRA VERM C/12,04072100,9.919373996789728
07896098900215,DETERG LIQ YPE MACA 500ML,34022000,2.278826945412311
07897664171756,SAB ALBANY HOMEM VERDE 85G,34011190,1.1191538461538462
07891515936334,MASSA PENNE PERD AO SUGOMANJERICAO,19023000,7.39
07896001005709,ESC.SANIT.SANILUX S/POTE BETTANIN 570,96039000,6.989999999999999
07896593401989,MAC.AMBRA ESPAGUETE,19021900,8.18447820343461
07896025504356,PINCEL MARCO BONI PTINT CAB LARGO,96033000,6.29
07897346800035,F MAND KALIL CRUZ 1K,11062000,3.9459465478841866
07896004811567,ALGODAO TOPZ ROLO 25G PT,56012110,2.19
07896051115014,LEITE COND.ITAMBE TP,04029900,3.7179871645274214
07891991006088,CERV BOHEM 350ML,22030000,10.24055944055944
07896512911933,SAB LIQ INF GRANADO BEBE LAV 250ML,34012010,13.89
07896116900425,FEIJAO KICALDO RAJADO TP11KG,07133319,11.566430517711172
07896016441028,BISC SECO AFA NORA 400G,19053100,3.936916666666667
07891112003071,FACA CARNE COZ INOX 8 UNIV TRAMONT,82119210,12.590000000000002
07891000251454,TEMP MAGGI CALDO CARNE 152GR,21041011,4.1880733944954125
07891150026513,DET PO 500G RSAS FL,34022000,5.583188571428571
07897664113022,LIMP.MULTI-USO MINUANO PERF.TRADICIONAL,34022000,2.49
07891000261460,LTE FERM NEST CHAM CER 130G 2228,04039000,3.385166666666667
03083681026108,ERV BOND SUAVE 200G,20054000,2.472077922077922
07891999014238,QJ VIGOR PROCESSADO TRAD 68G C4UN,04061090,2.99
07891150041714,SH TRESEMME DETOX CAPILAR 400ML,33051000,12.09
07891035570001,LIMP NUGGET LIQ CALC PTO 60ML,34051000,10.690000000000001
07898065730054,PEDRA SANIT SANY MISTA 25G,38089999,1.2868421052631578
07896021626304,DESODOR LIMPPANO PASTIL ADES FRES L,38089419,5.56
07898141930309,OVOS TP GRANDE VERM C20UN,04072900,12.283975903614458
07891962036847,BATATA PALHA VISCONTI EXT FINA 70G,20052000,3.130207468879668
05601252231058,AZ GALLO 200ML,15091000,11.326421404682273
07891000115909,FRISKIES SH 85G MIX,23099010,2.4284745762711863
