id,codSinapi,gtin,ncm,descp
27,42577,0736532667335,96190000,FRALDA BONZAO TUBO MAGICO PACOTAO G C/80
28,42577,0736532667465,96190000,FRALDA BONZAO TUBO MAGICO PACOTAO XG C/70
32,38121,7891153067902,32099019,TINTA VITRO 150 BASE AGUA ACRILEX REF. 508 VM ESCA
33,38121,7892948029846,32091010,"TINTA BASE ACR FOS 3,2L DELANIL M IQUIN GL0001GL"
34,38121,7899010424516,32091010,"ESMALTE BRI BASE AGUA 0,9L BR AQUAMAX HIDROTINTAS"
35,38121,7891260250419,32081010,TINTA ESMT. SINT. SUVINIL KG BRANCO NEVE BASE AGUA
36,38121,7891019915309,32091010,"TINTA ACR FOS 0,8L BASE P RENOVA CORAL"
37,38121,7892948030064,32091010,"TINTA BASE ACR FC GL3,2L DIACRYL C IQUIN GL0001GL - BOTO"
38,38121,7891019177950,32091010,"TINTA BASE ACR SB LT0,8L DECORA MF LT0001LT - CAMURCA - RM"
39,38121,7891019173143,32089010,"TINTA BASE GL2,56L WANDEPOXY T CORAL GL0001GL"
40,38121,7892948030002,32091010,"TINTA BASE ACR FC GL3,2L DIACRYL P IQUIN GL0001GL - RONDON"
41,38121,7892948048823,32091010,"TINTA ACR FOS BASE P 3,2L SELA PINTA IQUINE"
42,38121,7892948048847,32091010,"TINTA ACR FOS BASE M 3,2L SELA PINTA IQUINE"
43,38121,7891019906864,32091010,TINTA ACR FOSC BASE T 800ML DECORA MATTE CORAL
44,38121,7891019915774,32091010,"TINTA ACR ACET BASE MF DECORA SEDA 0,8L CORAL"
45,38121,7891019177035,32091010,TINTA ACR AC 800ML BASE P DECORA SEDA CORAL
46,38121,7892948029846,32091010,"TINTA ACR FOSC BASE M 3,2L DELANIL IQUINE"
47,38121,7892948029860,32091010,"TINTA ACR FOSC BASE C 3,2L DELANIL IQUINE"
49,38121,7891019906734,32091010,"TINTA BASE ACR FC GL3,2L DECORA MF GL0001GL - ROSA AMARELA"
50,38121,7891019909056,32091010,"TINTA BASE ACR FC GL3,2L S&C TOT BASE P GL0001GL - ALGODAO EGIPCIO - RM"
51,38121,7730149087091,32064990,"TINTA BASE CONC LT0,946L R-PRETO CORAL SH0001SH"
52,38121,7730149081112,32064990,"TINTA BASE CONC LT0,946L T-AMAR OXIDO CO SH0001SH"
53,38121,7892948044146,32091010,"TINTA ACR SB LIMPA FACIL BASE M 3,2L IQUINE"
54,38121,7891019170586,32091010,"TINTA ACR SB 3,2L BASE PM BRILHO E PROTECAO CORAL"
55,38121,7891019915798,32091010,TINTA ACR CIMENTO QUEIMADO BASE DECORA 3L CORAL
56,38121,7891019915262,32091010,"TINTA ACR FOS 3,2L BASE P RENOVA CORAL"
57,38121,7730149083123,32064990,"TINTA BASE CONC LT0,946L Z-MARROM UMB SH0001SH"
58,38121,7891260250341,32091010,TINTA ESMT. SINT. SUVINIL GL BRANCO GELO BASE AGUA SEC RAPID
59,38121,7892948050086,32091010,TINTA ACR FOS BASE M 16L DIATEX IQUINE
60,38121,7891019907021,32091010,"TINTA BASE ACR SB GL3,2L DECORA P GL0001GL - PALHA - RM"
61,38121,7892948043354,32091010,"TINTA ACR FOS SUPER PREMIUM BASE C 3,2L IQUINE"
62,38121,7891019106394,32091010,"TINTA ACR FOS 3,2L BASE P 3 EM 1 CORAL"
63,38121,7891019906857,32091010,"TINTA ACR FOSC BASE T 3,2L DECORA MATTE CORAL"
64,38121,7891019177943,32091010,"TINTA ACR SB 3,2L BASE MF DECORA DIAMANTE CORAL"
65,38121,7891019177073,32091010,"TINTA ACR AC 3,2L BASE P DECORA SEDA CORAL"
66,38121,7891019915767,32091010,"TINTA ACR ACET BASE MF DECORA SEDA 3,2L CORAL"
67,38121,7891019907021,32091010,"TINTA ACR SB 3,2 BASE P DECORA DIAMANTE CORAL"
68,38121,7892948048878,32091010,TINTA ACR FOS BASE C 16L SELA PINTA IQUINE
69,38121,7891019177103,32091010,"TINTA ACR AC 3,2L BASE T DECORA SEDA CORAL"
70,38121,7892948030057,32091010,TINTA BASE ACR FC 16LT DIACRYL M IQUINE LT - MOGI-GUACU
71,38121,7730149084045,32064990,"TINTA BASE CONC LT0,946L H-VERM OXIDO CO SH0001SH"
72,38121,7892948030026,32091010,TINTA BASE ACR FC 16LT DIACRYL P IQUINE LT - RONDON
73,38121,7730149086070,32041700,"TINTA BASE CONC LT0,946L N-AZUL CORAL SH0001SH"
74,38121,7891019176991,32091010,"TINTA BASE AC GL3,2L WANDEPOXY B AGUA PM GL0001GL - SOMBRA LUNAR"
